Paper ID,Ref ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes
172,"A23: Steimle, F.W., Ogren, L. (1982). Food of Fish Collected on Artificial Reefs in the New York Bight and Off Charleston, South Carolina. Marine Fisheries Review, 44(6-7), 49-52.",,Tautoga onitis,preys on,Mytilus edulis,Atlantic Beach NY,,,,,
172,"A23: Steimle, F.W., Ogren, L. (1982). Food of Fish Collected on Artificial Reefs in the New York Bight and Off Charleston, South Carolina. Marine Fisheries Review, 44(6-7), 49-52.",,Tautoga onitis,preys on,Cancer,Atlantic Beach NY,,,,,
172,"A23: Steimle, F.W., Ogren, L. (1982). Food of Fish Collected on Artificial Reefs in the New York Bight and Off Charleston, South Carolina. Marine Fisheries Review, 44(6-7), 49-52.",,Tautogolabrus adspersus,preys on,Mytilus edulis,Atlantic Beach NY,,,,,
172,"A23: Steimle, F.W., Ogren, L. (1982). Food of Fish Collected on Artificial Reefs in the New York Bight and Off Charleston, South Carolina. Marine Fisheries Review, 44(6-7), 49-52.",,Tautogolabrus adspersus,preys on,Crangon septemspinosa,Atlantic Beach NY,,,,,
173,111,10.4003/006.034.0107,Onchidoris muricata,preys on,Membranipora membranacea,"Cape Neddick, York, ME",43.15,-70.58333333,Autumn 2007,,
170,112,10.1080/00785326.1994.10429536,Littorina littorea,preys on,Fucus distichus,Nova Scotia,44.46666667,-63.55,,,
170,112,10.1080/00785326.1994.10429536,Littorina obtusata,preys on,Fucus distichus,Nova Scotia,44.46666667,-63.55,,,
170,112,10.1080/00785326.1994.10429536,Gammarus oceanicus,preys on,Fucus distichus,Nova Scotia,44.46666667,-63.55,,,
170,112,10.1080/00785326.1994.10429536,Echinogammarus finmarchicus,preys on,Fucus distichus,Nova Scotia,44.46666667,-63.55,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Mallotus villosus,,,,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Macoma calcarea,,,,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Pandalus borealis,,,,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Pandalus montagui,,,,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Dichelopandalus leptocerus,,,,,,
175,113,10.2960/J.v32.a2,Chionoecetes opilio,preys on,Strongylocentrotus droebachiensis,,,,,,
177,114,10.1126/sciadv.aar4349,Gadus morhua,preys on,Calanus finmarchicus,Gulf of Maine,,,April-June 2004,,
177,114,10.1126/sciadv.aar4349,Gadus morhua,preys on,Paracalanus,Gulf of Maine,,,April-June 2004,,
179,115,10.1002/tafs.10021,Tautogolabrus adspersus,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Tautogolabrus adspersus,preys on,Cancer irroratus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Pseudopleuronectes americanus,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Limanda ferruginea,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Limanda ferruginea,preys on,Ammodytes,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Limanda ferruginea,preys on,Leptoclinus maculatus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Scophthalmus aquosus,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hippoglossoides platessoides,preys on,Eualus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hippoglossoides platessoides,preys on,Pandalus montagui,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hippoglossoides platessoides,preys on,Leptoclinus maculatus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus octodecemspinosus,preys on,Ammodytes,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus octodecemspinosus,preys on,Cancer irroratus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus octodecemspinosus,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus octodecemspinosus,preys on,Polychaetes,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Argis dentata,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Cancer irroratus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Homarus americanus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Hyas coarctatus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Lumpenus lampretaeformis,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Leptoclinus maculatus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Triglops murrayi,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Myoxocephalus scorpius,preys on,Tautogolabrus adspersus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Osmerus mordax,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Lumpenus lampretaeformis,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Zoarces americanus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Gadus morhua,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Myoxocephalus octodecemspinosus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Pseudopleuronectes americanus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Hemitripterus americanus,preys on,Hippoglossoides platessoides,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Urophycis tenuis,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Urophycis tenuis,preys on,Clupea harengus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Urophycis tenuis,preys on,Scomber scombrus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Crangon septemspinosa,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Cancer irroratus,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Polychaetes,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Ammodytes,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Osmerus mordax,Northumerland Strait,,,1999-2003,,
179,115,10.1002/tafs.10021,Leucoraja ocellata,preys on,Pseudopleuronectes americanus,Northumerland Strait,,,1999-2003,,
180,116,10.1111/gcb.13838,Gadus morhua,preys on,Clupea harengus,Northeast US Shelf,,,1968-2014,,65-75 longitude through 35-45 latittude
180,116,10.1111/gcb.13838,Gadus morhua,preys on,Scomber scombrus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Gadus morhua,preys on,Loligo pealeii,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Gadus morhua,preys on,Ammodytes dubius,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Squalus acanthias,preys on,Clupea harengus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Squalus acanthias,preys on,Scomber scombrus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Squalus acanthias,preys on,Loligo pealeii,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Squalus acanthias,preys on,Ammodytes dubius,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Merluccius bilinearis,preys on,Clupea harengus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Merluccius bilinearis,preys on,Scomber scombrus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Merluccius bilinearis,preys on,Loligo pealeii,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Merluccius bilinearis,preys on,Ammodytes dubius,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Urophycis tenuis,preys on,Clupea harengus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Urophycis tenuis,preys on,Scomber scombrus,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Urophycis tenuis,preys on,Loligo pealeii,Northeast US Shelf,,,1968-2014,,
180,116,10.1111/gcb.13838,Urophycis tenuis,preys on,Ammodytes dubius,Northeast US Shelf,,,1968-2014,,
182,117,10.1139/f89-240,Gadus morhua,preys on,Mallotus villosus,NE Gulf of St. Lawrence,,,1985-1986,,
184,118,10.1038/srep21179,Halichondria panicea,preys on,Zooplankton,,,,,,
184,118,10.1038/srep21179,Halichondria panicea,preys on,detritus,,,,,,
184,118,10.1038/srep21179,Halichondria panicea,preys on,phytoplankton,,,,,,
186,119,10.1007/BF02112130,Tritonia plebia,preys on,Alcyonium digitatum,east point nahant MA,42.41666667,-70.9,,,two locations
186,119,10.1007/BF02112130,Tritonia plebia,preys on,Alcyonium siderium,two locations,42.5,-70.76666667,,,
186,119,10.1007/BF02112130,Coryphella verrucosa,preys on,Alcyonium siderium,,,,,,
186,119,10.1007/BF02112130,Coryphella verrucosa,preys on,Tubularia,,,,,,
186,119,10.1007/BF02112130,Coryphella verrucosa,preys on,Botryllus schlosseri,,,,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Abietinaria abietina,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Hyas araneus,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Colus spitzbergensis,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Margarites groelandicus,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Nucella lapillus,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Chlamys islandica,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Hiatella arctica,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Mytilus edulis,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Modiolus modiolus,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Ophiopholis aculeata,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Gadus morhua,eastern Newfoundland,46.66666667,-52.83333333,,,
188,120,10.1139/z86-288,Anarhichas lupus,preys on,Tautogolabrus adspersus,eastern Newfoundland,46.66666667,-52.83333333,,,
189,121,10.1016/j.jembe.2015.09.011,Hemigrapsus sanguineus,preys on,Hyale plumulosa,"Clarks cove, new bedford MA",41.594856,-70.911341,,,
189,121,10.1016/j.jembe.2015.09.011,Hemigrapsus sanguineus,preys on,Mytilus edulis,"Clarks cove, new bedford MA",41.594856,-70.911341,,,
189,121,10.1016/j.jembe.2015.09.011,Hemigrapsus sanguineus,preys on,Ulva,"Clarks cove, new bedford MA",41.594856,-70.911341,,,
189,121,10.1016/j.jembe.2015.09.011,Hemigrapsus sanguineus,preys on,Enteromorpha,"Clarks cove, new bedford MA",41.594856,-70.911341,,,
190,122,10.2983/035.034.0336,Hemigrapsus sanguineus,preys on,Littorina littorea,Harpswell ME,43.78333333,-69.95,,,
190,122,10.2983/035.034.0336,Hemigrapsus sanguineus,preys on,Homarus americanus,Harpswell ME,43.78333333,-69.95,,,
190,122,10.2983/035.034.0336,Carcinus maenas,preys on,Homarus americanus,Harpswell ME,43.78333333,-69.95,,,
191,123,10.3354/meps11160,Hemigrapsus sanguineus,preys on,Chondrus crispus,"Ordiorne Pt, NH",,,May-11,,
191,123,10.3354/meps11160,Hemigrapsus sanguineus,preys on,Ascophyllum nodosum,"Ordiorne Pt, NH",,,May-11,,
191,123,10.3354/meps11160,Hemigrapsus sanguineus,preys on,Fucus vesiculosus,"Ordiorne Pt, NH",,,May-11,,
191,123,10.3354/meps11160,Hemigrapsus sanguineus,preys on,Mastocarpus stellatus,"Ordiorne Pt, NH",,,May-11,,
191,123,10.3354/meps11160,Hemigrapsus sanguineus,preys on,Semibalanus balanoides,"Ordiorne Pt, NH",,,May-11,,
193,125,10.1016/j.jembe.2009.12.011,Nucella lapillus,preys on,Mytilus edulis,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Nucella lapillus,preys on,Semibalanus balanoides,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Urosalpinx cinerea,preys on,Mytilus edulis,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Urosalpinx cinerea,preys on,Semibalanus balanoides,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Urosalpinx cinerea,preys on,Crepidula fornicata,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Hemigrapsus sanguineus,preys on,Crepidula fornicata,Nahant MA,,,2001-2006,,
193,125,10.1016/j.jembe.2009.12.011,Pagurus longicarpus,preys on,Crepidula fornicata,Nahant MA,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Hemigrapsus sanguineus,preys on,Geukensia demissa,New Jersey,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Hemigrapsus sanguineus,preys on,Menidia menidia,New Jersey,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Callinectes sapidus,preys on,Geukensia demissa,New Jersey,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Callinectes sapidus,preys on,Menidia menidia,New Jersey,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Carcinus maenas,preys on,Geukensia demissa,New Jersey,,,2001-2006,,
195,126,10.1111/j.1365-2656.2007.01304.x,Carcinus maenas,preys on,Menidia menidia,New Jersey,,,2001-2006,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Ammodytes marinus,,,,,,""" Cape Hatteras, NC, to the Gulf of Maine"""
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Hippoglossina oblonga,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Myoxocephalus octodecemspinosus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Scophthalmus aquosus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Scophthalmus aquosus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Pseudopleuronectes americanus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Limanda ferruginea,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Paralichthys dentatus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Zoarces americanus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Tautogolabrus adspersus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Urophycis tenuis,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Urophycis chuss,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Merluccius bilinearis,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Alosa pseudoharengus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Clupea harengus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Urophycis regia,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Melanogrammus aeglefinus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Brosme brosme,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Glyptocephalus cynoglossus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Hippoglossus hippoglossus,,,,,,
197,127,10.3354/meps230001,Hemitripterus americanus,preys on,Hippoglossoides platessoide,,,,,,
198,128,10.1016/j.jembe.2015.01.002,Hemitripterus americanus,preys on,Homarus americanus,Saco Bay ME,,,,,no access but data in abstract
198,128,10.1016/j.jembe.2015.01.002,Morone saxatilis,preys on,Homarus americanus,Saco Bay ME,,,,,no access but data in abstract
198,128,10.1016/j.jembe.2015.01.002,Gadus morhua,preys on,Homarus americanus,Saco Bay ME,,,,,no access but data in abstract
200,129,10.1007/s10530-014-0724-z,Lacuna vincta,preys on,Chondrus crispus,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Lacuna vincta,preys on,Heterosiphonia japonica,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Lacuna vincta,preys on,Polysiphonia fucoides,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Lacuna vincta,preys on,Polysiphonia stricta,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Lacuna vincta,preys on,Saccharina latissima,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Idotea balthica,preys on,Heterosiphonia japonica,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Idotea balthica,preys on,Fucus vesiculosus,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Idotea balthica,preys on,Polysiphonia fucoides,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Idotea balthica,preys on,Polysiphonia stricta,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
200,129,10.1007/s10530-014-0724-z,Idotea balthica,preys on,Saccharina latissima,Canoe Beach Nahant MA,42.41666667,-70.9,2011,,
201,130,10.5343/bms.2017.1150,Homarus americanus,preys on,Calanus finmarchicus,Seabrook Nh,,,,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja ocellata,preys on,Polychaeta,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja ocellata,preys on,Ammodytes,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja erinacea,preys on,Cancer,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja erinacea,preys on,Crangon septemspinosa,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja erinacea,preys on,Ammodytes,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja erinacea,preys on,Pagurus acadianus,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Leucoraja erinacea,preys on,Myoxocephalus octodecemspinosus,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Cancer,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Crangon septemspinosa,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Ammodytes,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Gammaridea,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Pandalidae,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Caprellidae,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Myoxocephalus octodecemspinosus,preys on,Pagurus acadianus,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Melanogrammus aeglefinus,preys on,Gammaridea,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Melanogrammus aeglefinus,preys on,Cancer,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Melanogrammus aeglefinus,preys on,Polychaeta,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Melanogrammus aeglefinus,preys on,Crangon septemspinosa,Closed Area II Georges Bank,,,2004-2008,,
204,132,10.1016/j.jembe.2014.09.009,Melanogrammus aeglefinus,preys on,Cancer irroratus,Closed Area II Georges Bank,,,2004-2008,,
