sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Cancer borealis,Ciona intestinalis,Subtidal,Subtidal,preys on,167,NA,Cancer borealis,Ciona intestinalis,Great Bay Estuary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Echinarachnius parma,Subtidal,Subtidal,preys on,2330,https://doi.org/10.1163/193724093X00291,Cancer borealis,Echinarachnius parma,New York Bight,40.5,-73.8,1988-1989,"Stehlik, L. L. (1993). Diets of the Brachyuran Crabs Cancer irroratus, C. borealis, and Ovalipes ocellatus in the New York Bight. Journal of Crustacean Biology, 13(4), 723–735. https://doi.org/10.2307/1549103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Hiatella arctica,Subtidal,Intertidal,preys on,220,10.2307/2937130,Hiatella arctica,Cancer borealis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Isopods,Subtidal,Intertidal,preys on,2330,https://doi.org/10.1163/193724093X00291,Cancer borealis,Isopoda,New York Bight,40.5,-73.8,1988-1989,"Stehlik, L. L. (1993). Diets of the Brachyuran Crabs Cancer irroratus, C. borealis, and Ovalipes ocellatus in the New York Bight. Journal of Crustacean Biology, 13(4), 723–735. https://doi.org/10.2307/1549103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Littorina littorea,Subtidal,Intertidal,preys on,2386,https://www.proquest.com/docview/303488469?fromopenview=true&pq-origsite=gscholar,Cancer borealis,Littorina littorea,"Pemaquid Point, Maine",43.83121033,-69.51379033,August 1984 - October 2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Mytilus edulis,Subtidal,Both,preys on,NA,10.1016/j.jembe.2012.02.014,Cancer borealis,Mytilus edulis,Appledore Island,42.96666667,-70.61666667,6/1/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Nucella lapillus,Subtidal,Intertidal,preys on,NA,10.1016/j.jembe.2010.10.005,Cancer borealis,Nucella lapillus,"Damariscotta River, ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Ophiopholis aculeata,Subtidal,Subtidal,preys on,220,10.2307/2937130,Ophiopholis aculeata,Cancer borealis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Strongylocentrotus droebachiensis,Subtidal,Both,eats,NA,NA,Cancer borealis,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:26783,Malacostraca | Decapoda | Cancridae | Cancer | Cancer borealis,NA,FBC:SLB:SpecCode:50007,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
Cancer borealis,Strongylocentrotus droebachiensis,Subtidal,Both,preys on,NA,10.1016/j.jembe.2015.02.005,Cancer borealis,Strongylocentrotus droebachiensis,"Splitnose Point, Nova Scotia, Canada",44.5875,-63.76361111,7/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Alaria esculenta,Subtidal,Subtidal,eats,NA,NA,Cancer irroratus,Alaria esculenta,NA,NA,NA,NA,NA,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,WD:Q967622,| Alaria esculenta,NA,NA,NA,NA,NA
Cancer irroratus,Amphipoda,Subtidal,Both,preys on,110,10.2307/1549103,Cancer irroratus,Amphipoda,Christiansen Basin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Barnacle,Subtidal,Subtidal,preys on,2386,https://www.proquest.com/docview/303488469?fromopenview=true&pq-origsite=gscholar,Cancer irroratus,Balanus balanus,"Pemaquid Point, Maine",43.83121033,-69.51379033,August 1984 - October 1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Buccinum undatum,Subtidal,Subtidal,preys on,358,10.3354/meps085245,Buccinum undatum,Cancer irroratus,Mingan Archipelago,50.220548,-64.1845189,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Cancer irroratus,Subtidal,Subtidal,preys on,NA,NA,Cancer irroratus,Cancer irroratus,NA,NA,NA,NA,NA,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,NA,NA,NA,NA
Cancer irroratus,Clathromorphum circumscriptum,Subtidal,Subtidal,eats,NA,NA,Cancer irroratus,Clathromorphum circumscriptum,NA,NA,NA,NA,NA,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,GBIF:8767970,Plantae | Rhodophyta | Florideophyceae | Corallinales | Hapalidiaceae | Clathromorphum | Clathromorphum circumscriptum,NA,NA,NA,NA,NA
Cancer irroratus,Fucus,Subtidal,Intertidal,eats,NA,NA,Cancer irroratus,Fucus,NA,NA,NA,NA,NA,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,EOL:9836,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus,NA,NA,NA,NA,NA
Cancer irroratus,Hiatella arctica,Subtidal,Intertidal,preys on,220,10.2307/2937130,Hiatella arctica,Cancer irroratus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Lacuna vincta,Subtidal,Intertidal,preys on,115,NA,Lacuna vincta,Cancer irroratus,"Iles de la Madelein, Gulf of St. Lawrence",47.37211877,-61.64699371,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Littorina littorea,Subtidal,Intertidal,preys on,2386,https://www.proquest.com/docview/303488469?fromopenview=true&pq-origsite=gscholar,Cancer irroratus,Littorina littorea,"Pemaquid Point, Maine",43.83121033,-69.51379033,August 1984 - October 1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
